100000 200000
96228 9801 197320
94493 71806 164182
9268 43993 149531
9127 59716 86433
27142 26413 25662
29637 48197 77221
68587 67512 197383
84117 35288 27251
62060 85192 102696
23023 93976 129135
74518 96925 8711
833 29925 4832
47834 84613 133998
28338 30983 24226
3322 78047 169308
66725 92863 17214
39918 26880 135395
96481 98949 50044
40760 50586 82756
25130 78265 84340
56413 3949 133667
84754 79787 66581
89254 5293 13866
12592 71346 173238
59807 27512 190434
99860 66136 193006
56133 28131 165987
5211 6952 122962
30782 6092 59692
60666 97252 146118
87849 92747 53202
49131 29155 130050
79140 18565 23590
32159 58321 180729
9125 49757 140813
30143 51502 68365
18417 57447 118330
11530 49744 194257
59865 45447 1683
51687 11369 16500
29247 2392 85234
34867 94260 26157
87185 35608 6083
59048 43306 59346
13451 37748 136547
58209 45294 83154
46776 54273 167383
45665 26203 168815
49279 81301 190255
57380 99687 136452
17985 18734 29731
40712 28883 30393
37856 2297 157799
47813 36416 42254
54015 94934 36202
88543 70917 179257
2509 57041 21928
1043 20708 120111
92957 12552 19352
72390 67280 122684
15972 76077 3267
6342 13724 160068
67832 50271 7015
12653 1162 156959
42148 52363 152696
53184 11494 132587
46173 13800 2959
93046 86447 199077
49833 91180 3576
72463 84527 59473
58657 65107 24025
2209 17175 199138
52511 8231 61281
17989 32632 199767
96327 50707 46185
29177 16282 118909
83065 10080 167156
33475 52913 81638
46772 66871 61981
95150 46308 20499
6902 23655 184942
6125 15383 46118
19165 7660 194128
29073 91914 193593
29885 51758 119323
19016 39156 89617
81422 35538 113604
73101 28995 13690
66698 9639 61774
23482 39441 54965
94457 42648 97523
64094 90072 139377
6862 39817 46054
26677 44623 109387
85872 10325 22914
74037 68517 154953
16367 87214 43647
63426 44343 565
78545 15568 31737
74421 37521 164622
28476 84465 42984
54228 78949 56714
14070 80697 124617
62703 19777 39309
34397 68232 116383
12953 77789 47339
87701 76459 70589
26201 14551 175056
73937 33129 157825
64883 22836 96720
16940 24833 47710
84664 41757 8893
70691 36838 46008
34055 86432 102919
41709 59308 163457
66633 42683 176573
56201 76999 17548
85369 53925 12613
99583 97207 2571
3996 61172 3032
29568 87654 59048
56281 2145 13672
82457 75332 131988
32164 15295 34798
93064 94818 69611
96052 23072 166089
62982 7209 189709
31333 80579 138711
262 61305 135435
30878 19579 17464
88229 19337 139444
33783 54244 58908
89995 56788 145422
37524 64701 163839
56781 52564 96387
68783 31774 125154
74361 33399 121089
63546 40326 180157
23301 69066 38217
75374 75045 106378
97446 21925 52841
76397 27278 111139
67647 52655 149804
85169 92805 186516
71339 58889 19216
126 15471 7291
52466 22501 177532
77705 68582 46486
6252 32818 8525
28890 7914 16160
51716 13520 21089
52348 91549 130827
28580 61565 111685
2493 85500 162553
78499 1680 38691
38079 30950 99275
38458 16018 112183
1134 90321 89639
32299 11268 26113
93280 39459 156827
70944 80273 41271
11515 38530 33724
6355 2345 123460
85778 29698 85216
52187 2680 97116
74064 29428 143035
92375 20707 108979
85248 47614 175643
63689 78915 57933
98981 66843 75241
40511 93602 68681
35870 31362 87920
83724 29383 117171
45387 85399 49039
66229 45809 14313
97954 75129 108742
56399 99512 116603
20725 28094 54497
66108 53515 149078
35658 85202 37018
97031 27738 67657
24490 96660 140987
70952 37486 15553
68240 43287 70171
3642 17630 168265
53632 40189 166154
36413 61527 89452
52637 36117 70445
54905 71666 24240
64389 26628 184349
7842 14284 160959
69303 29740 56383
96102 43878 175522
89803 58086 166930
20443 71162 12430
25084 2238 115068
7299 84092 115484
89229 89885 114599
63080 58545 68848
46304 91474 86975
78642 40829 39336
75150 40953 22832
28324 86984 44082
64192 90704 192636
15016 25397 137623
96775 77023 171423
25536 43117 121679
73976 35984 99827
69570 92955 20960
25164 52111 2069
7175 10736 146590
36473 96725 120121
10333 28771 129407
16522 72176 188819
22375 95413 34556
7616 43796 114854
1097 9162 105293
92397 20664 122445
68039 10100 3457
55157 98771 141609
17792 6218 135713
78916 15233 36663
60612 85106 197668
25712 13863 143753
53070 26377 52437
20154 13159 195165
18635 46356 57555
79114 66661 143886
91949 57943 134990
33799 81948 188843
49688 31551 149228
16691 74113 182407
22726 85301 162714
50885 85964 169168
88981 27400 164596
22750 7953 9599
78875 82016 42076
21765 93509 82091
77775 96333 182610
62901 96471 114846
16570 78048 169165
55239 33995 90982
61109 67505 120709
93582 54465 51979
46792 82246 183262
61891 45732 167043
33998 95375 73952
22977 1046 107082
6156 54079 162720
99520 5336 16105
4403 41587 162057
91592 2823 151712
89053 66046 165218
2318 32028 57486
48120 54145 124761
75469 68931 42961
32634 66739 105118
68547 83142 157295
19390 10222 131880
82250 36145 23861
24834 50876 133369
92559 8311 85968
74423 77018 152369
53473 66485 168000
54692 71470 42703
55828 16615 31546
60582 28732 30114
21489 45084 176531
19813 63674 182807
16954 90646 51375
26417 22491 44003
58795 4727 47481
50462 44403 29820
49671 24144 18410
2225 88057 194343
36207 9539 134792
35708 23911 43067
87655 49021 133285
28360 28108 154498
3555 71304 68147
46663 97623 152546
36902 25119 2765
91354 37137 169328
53902 52027 8257
51739 84347 79534
38569 81650 12907
6211 87963 121432
64029 56987 55089
93133 37213 46308
45640 1448 169166
97990 38294 177101
36626 85304 187104
36007 58181 102081
97240 57347 164754
25831 15376 4238
31659 49754 185487
57587 28818 39574
66183 68598 193995
75360 10288 2713
83926 71546 69225
26718 75146 77842
8228 58510 103717
1441 25314 39061
73967 42273 175443
56210 38801 105260
232 38438 116081
23266 25795 76010
43067 57306 181354
75612 41290 102077
85122 19646 34779
30674 42437 163234
45724 817 28166
78802 8106 193437
257 96977 109021
94589 80399 110175
90001 36356 181464
98985 37674 96062
2923 77664 114392
80968 38773 70011
23600 86602 62069
49344 7397 117780
24226 84855 167966
84563 71337 88453
61841 99942 13324
78653 4857 113239
34271 62491 179637
47814 81181 110847
26931 81489 113204
53285 24960 159877
52094 61497 7536
55009 58374 187565
68067 1194 45781
76876 79069 100588
23486 58965 167355
66849 11185 141705
53777 5733 24182
78354 65476 46509
13483 86406 16496
66160 30429 60294
88172 26771 151182
36801 93921 33806
92919 39253 76221
63430 95253 159971
46096 97564 86809
26147 10683 178490
29122 4364 16610
91723 89589 64161
34540 5572 144653
64670 26023 191585
40144 29739 100331
81087 29497 48307
96585 242 175935
82946 31133 144485
62343 28667 24259
19828 11502 156598
93916 11049 94966
5631 8152 124275
44931 2951 115078
65113 45391 31637
64626 87622 197459
36046 22408 49404
72186 41954 14616
17864 49365 105869
86950 79750 147801
16406 72767 130033
8198 19593 194560
41165 85757 189758
27921 17296 113379
70373 97377 122848
5630 56298 116597
47566 49219 146241
10850 3039 164355
79185 81209 85327
11136 70544 130614
7734 6660 120403
73612 72817 54504
18587 5120 186755
13018 59971 19655
35783 29732 114463
66105 6729 96587
23050 59968 161257
40453 73980 185211
18934 51664 17195
88967 37980 46113
60400 98736 82405
18468 66905 110099
20201 64455 159887
80164 7590 56234
68893 47188 123237
16557 15659 122857
92351 4063 56773
17939 42421 32226
3159 52913 34938
22245 22913 192450
18329 9379 182272
76499 88425 150596
43547 33032 85928
51733 86718 106292
51350 7900 126380
50382 52544 86785
40467 61842 108125
63009 68666 173263
37533 87658 46514
47140 58820 30719
52409 61735 55154
87386 1824 94900
11774 54691 97334
85454 53346 117242
58764 7160 129838
43079 60620 42612
11073 23681 161821
59759 12084 118128
31457 80171 67496
76479 26606 18120
55628 91329 15136
75202 34486 141742
76541 31509 130833
3452 52957 14581
32083 98190 4073
50733 50029 5726
4548 42624 80088
23843 33932 168648
68300 93763 21809
11395 33250 59666
71744 70645 42480
71812 78442 78526
22351 32092 73078
17662 86485 27969
33553 79237 191285
71000 81733 6534
88 36328 34154
24641 140 13172
97555 12125 72492
20461 48613 30654
3254 1107 61325
18140 60685 132439
9767 10351 159111
87445 49179 80837
62549 18715 23094
39043 26842 159357
10313 25318 19347
46435 15163 39037
47193 75749 116409
19513 58993 20408
71528 11080 78902
70784 70043 149179
38679 27733 119355
43103 99553 156705
56213 32152 119281
84191 78632 36141
88988 74290 41251
54572 74749 153602
87791 94406 107918
80704 4616 112579
94613 90385 79865
64213 98588 88984
14439 98663 183685
63794 13675 45915
52657 4089 142102
2119 15710 176034
90903 42638 151419
4723 85546 129356
65207 81087 155690
84780 92656 4981
75920 38548 66126
80318 72062 122647
81898 41563 119483
90875 61526 44542
49521 30355 129691
62976 73904 114003
18219 87437 24073
90031 98478 170111
42442 80723 97483
53553 42515 138147
51895 79843 53922
24341 8064 116668
89758 12478 54435
55192 62831 116808
88924 15578 77155
32804 6512 131825
74449 54342 182679
16213 1092 50218
88349 49456 89221
81362 14675 171024
9665 72269 88767
2359 19036 83960
76268 8780 147796
12826 64593 149671
70188 36435 147351
85939 20556 34541
90014 53831 56918
37 45289 159826
66569 12794 171647
91174 41879 176879
56038 52906 146887
44150 14787 193364
62075 17667 142988
22994 20578 178661
34384 63933 29257
45982 52834 14276
38136 64969 97728
55002 86698 164380
66019 30758 17775
61182 21819 47168
59654 66677 112595
34228 81701 20213
94662 87652 86839
52797 87804 157263
75612 10909 78668
28538 3826 69882
31432 12346 2198
54381 26977 67510
13360 54914 52777
93475 46893 185236
60351 71531 94296
13273 11952 186967
260 34854 191143
25905 90987 59947
52301 44864 131225
69301 93756 28003
64365 74386 5862
92791 92599 176579
1920 66474 171888
7251 31633 136248
83969 41668 108182
69055 84052 199181
19135 64223 170196
24650 47230 7321
57540 31689 188261
89924 97627 130291
57688 28653 104673
34712 58818 195505
74877 83138 2642
66621 32706 12894
18203 56550 95565
18162 32002 86037
49246 70251 17170
72449 70239 70639
58633 80921 35669
83027 91910 177594
16978 29508 155140
30757 53077 35976
68935 81725 134313
48846 64392 175526
62614 13077 79987
55957 74594 73462
38037 53660 52724
10929 22191 172434
8951 70455 128796
63925 66052 164977
32338 49423 186553
7268 38389 179523
93920 94956 137392
16817 25318 37082
86407 24588 108117
27589 15981 28431
33257 42295 175141
15528 12596 154353
57373 60952 53699
56216 25590 168705
24232 51689 192371
49793 33282 78054
63684 37995 24911
6352 26932 121077
13393 82439 10856
30989 32169 50665
9168 78349 45709
66135 18848 127160
98441 68466 50115
85367 28078 118767
21534 27543 36551
74725 77407 171180
29643 18275 151693
77257 2178 13602
44523 46884 106075
78539 11708 186399
1372 204 107649
77747 66898 38566
24613 28816 100526
47839 72001 67818
75941 3941 166999
52257 19653 140501
6393 51950 94576
25764 72939 22094
72864 18157 156405
66046 39818 175139
42073 51576 80843
40574 83494 28753
54476 48343 71044
78341 35450 16195
74847 55343 55815
81686 11467 146210
52282 9752 113399
58110 25691 67036
298 3572 119287
5782 7594 87033
44033 79506 134096
91654 43651 75552
17867 19373 25267
40092 55213 125829
94394 78047 118288
53103 37375 153541
40684 9049 146377
90993 24956 32707
25350 32251 113426
33174 73831 168854
8477 36636 67779
69187 1127 172073
16424 51736 188308
28625 64320 66875
71227 83125 52685
97979 37223 166784
98499 37859 8308
13742 21435 127649
53524 69494 22034
10862 69760 198002
14344 38334 2267
41913 19065 17606
28233 12892 117728
5900 52835 63072
88358 62811 44913
85768 40054 183725
81743 67673 119015
79360 92577 5873
71279 22226 158809
84769 1386 125488
69649 21480 46164
24864 27650 76025
86232 45496 55967
92966 16748 165051
35147 78639 130255
34375 88736 85896
22486 93127 40691
77671 29873 140792
48431 87377 43203
74362 8599 184135
96435 51579 93309
20288 17794 92384
4967 59356 155877
82204 43472 61196
62279 89050 158135
85980 50738 42362
13028 20832 191722
27350 48778 118509
76230 63841 112555
33155 36832 76643
80374 71049 170057
71213 51556 166115
99470 13621 51167
73237 30064 171868
65879 36426 38297
89098 70073 156599
8855 35606 206
13540 63152 75622
17768 27342 67257
42796 90572 180008
44868 99004 158856
19868 10373 168551
29095 15966 195959
68625 73385 199999
21796 77075 118118
11514 95987 80343
19983 98424 163268
27682 40747 76582
50889 74570 26304
36659 81522 104851
25670 63839 14475
81776 66472 104791
892 31371 143617
4896 55552 98761
61612 30697 12065
73544 59443 138230
48268 56344 121626
48104 26909 33768
58375 1958 12914
60969 74658 120764
25585 77311 37149
46189 88234 199359
69559 72682 3686
48223 56662 72966
66198 76116 132642
65819 27761 50341
72940 85071 108022
2863 96760 107004
16548 88798 40480
17380 15067 80592
54445 79788 72143
7028 31579 118418
77381 48252 143399
61784 93227 61465
31777 40297 121043
20876 73317 71513
50743 5144 63004
25590 64728 161701
99956 84195 107094
43613 92463 33304
95671 6937 69521
51009 37978 37219
57790 1892 191799
27981 53563 103540
89017 51078 105432
77399 99905 183700
50800 35058 168999
74336 3883 89450
23212 84573 182240
24965 88910 132834
55594 50639 22620
92358 17818 158632
73391 42626 88882
64018 93503 195942
53212 63553 187134
65604 26361 159974
36574 57707 44617
91230 55985 113321
84243 88350 163246
70375 1926 151942
2680 70461 117849
12806 93187 114060
52025 44476 78710
15042 35265 82816
396 51236 126686
47690 18377 70888
11730 80248 88757
8165 61298 114179
89276 4761 119517
3510 22861 28521
40095 1931 17273
92904 67843 5745
39915 78831 3558
95483 83435 187657
36905 41411 74194
73755 36751 29979
17957 11127 145268
95169 79298 67081
5317 40139 141967
17528 55539 23112
98295 51925 33375
91325 5060 199376
42471 23297 134449
31649 86288 76649
72420 86848 104389
75276 14301 36874
72406 46431 148337
42569 68331 7007
97210 47457 122396
20000 70879 180404
61538 82533 12876
99678 82479 135438
39158 4753 188823
1043 63537 43337
74696 69295 50890
74305 81625 35559
99324 41719 94998
2451 96078 53756
62036 90924 177966
59154 51274 174903
77819 22594 61387
35109 49584 173955
16215 84696 173316
17055 79908 71852
8322 59908 17539
40357 98419 136323
29845 79506 11232
69811 52460 181884
72315 43065 127154
18518 15527 36581
85784 64534 50694
28992 56748 195100
33760 95111 3990
58887 39874 89388
61834 10675 146124
73667 60145 82532
74563 9608 124063
6445 10399 83727
4492 90336 48438
56754 92901 110356
8736 37323 27015
58955 22211 176500
80514 47543 60403
2346 14882 118394
45437 41341 142845
22469 64293 153785
36501 33259 37050
11098 18788 64019
90352 95568 145798
37506 37538 76888
10784 29877 165054
6509 79200 88084
83921 99262 118931
25583 6727 43863
1775 37980 32443
73475 68470 188173
48234 28855 183738
38775 75619 29109
2080 77155 126642
84527 11871 195251
21606 92690 98532
55937 52875 143652
22197 28812 4905
10124 57204 113589
89282 40148 35622
49806 47711 199787
44342 33698 177685
23302 28191 30115
79608 29893 148618
53317 48988 15999
4690 61845 65074
56424 67076 167438
16480 69425 156901
4428 66270 2243
82595 78163 120308
4798 34494 15613
10167 88462 160353
16734 10151 168908
4136 858 34430
35054 83326 67121
97071 25080 190154
96564 41443 91868
1031 45249 169437
35965 6722 42223
79298 45290 30931
31372 22914 73207
48997 91098 157886
34462 14625 177574
38666 6765 155150
19771 60930 92903
5677 63607 79465
52948 3694 68199
82417 91292 131374
85882 64794 134519
5802 98194 179387
65020 29738 85971
6960 14154 174998
76441 669 159360
88974 74912 192654
49566 36253 43908
10595 23848 170245
79401 75944 160850
3622 71709 64375
81781 29993 196041
49384 85491 72681
1317 34691 78248
41408 63606 94946
33705 99912 145020
79663 72357 166663
79240 57765 196051
56535 49570 154704
10386 49156 190770
98555 4304 50165
64428 8207 164001
62643 26721 87448
55377 10296 56539
61500 84513 196562
57057 53743 48549
31183 80940 128752
59179 2059 84822
56540 6199 37101
64357 65822 135514
40852 58562 167632
36135 14033 36085
86444 33352 26668
84301 32977 29625
37389 97042 117890
89456 42250 134906
81005 28689 2915
78246 17834 79477
84242 62775 120395
63883 533 172548
63157 77390 59887
48270 24140 31859
74308 47297 99759
98144 65479 127054
72968 95770 46738
73178 99006 149319
24289 39472 167896
17702 53348 197286
26725 4932 84833
75276 4379 116687
67240 53542 47803
98775 45348 171290
47073 91993 151877
46069 45892 141363
24313 80998 174848
44509 43385 39872
77423 79675 44490
93066 79762 39934
51965 44409 13862
88878 86551 197359
7542 66693 30307
18716 67015 87363
5001 81752 196615
32415 7602 189923
7813 28581 161575
69295 66188 101730
16273 56498 161418
96582 57085 187905
26910 98116 103116
27404 90101 160943
18393 83132 188488
18212 35155 35207
40515 85443 191315
67157 74853 51927
44661 50623 159038
86740 50641 45077
73219 29930 124356
68849 51412 185593
17620 57697 188291
34874 83613 193208
52239 28625 457
91981 25142 189880
11933 46265 60070
73295 5239 50433
49916 71594 169599
41211 87282 141247
78880 85223 143728
24681 6248 134748
72815 1270 18317
20556 862 69887
72876 69820 165664
77492 32677 185907
21670 27066 158416
56596 18856 169648
42886 74479 30362
4056 15478 96228
94381 86413 125084
78153 43240 157475
58771 15511 150731
13796 6870 29294
56047 4941 116374
65944 23927 149229
73495 43162 116148
29003 10388 17315
17392 70980 39452
44925 76743 177372
65856 2133 67962
49662 22203 26379
38531 44218 78749
41902 31128 121942
44448 1209 195368
62393 21338 15742
36095 47337 105401
63512 73485 194846
59661 78269 167756
59127 60631 163377
74043 37153 21687
37898 97080 49072
32683 25363 7210
31921 11826 44297
55593 12464 130270
50124 85362 136542
11432 65526 85182
2377 78646 17210
16211 51322 103059
26054 327 148559
14376 59020 196935
35213 25445 7435
38354 64275 11094
23648 56188 40890
30428 50889 92343
80757 71498 5153
96971 38731 130940
31748 18467 62757
22294 34372 137611
65860 9656 28300
60009 25855 189388
7027 78617 22273
96155 34311 76464
66572 37234 108883
7221 64662 150580
76079 68745 190912
87391 2271 73439
80273 4332 113336
78944 44105 149417
47655 7460 154985
38831 98683 58931
56456 18006 156431
22524 9396 134194
49752 60571 139360
76968 30529 66814
5073 46664 163085
53839 81262 118823
53253 2934 133433
64928 36953 165299
97173 57130 109056
44377 63264 103304
19307 25440 196623
35378 32958 23587
96251 65720 78989
47816 40139 149184
94096 28951 86569
99946 84104 111399
35878 58133 54025
42088 14488 69499
45519 99244 106157
29798 82939 143823
7597 76710 71082
84889 81831 102465
88063 97925 8769
4296 99929 98158
1557 77306 154075
93951 47230 104939
83345 62030 181065
9174 11523 87529
11586 45273 166626
62697 59217 85276
58736 255 168425
28768 52289 10816
94461 93369 130800
11505 63708 124805
7436 73279 788
63633 52977 102856
42594 36444 25528
95478 62722 30071
52971 43136 128687
20088 19614 18245
39104 96121 58259
14921 92366 58365
34032 15643 24779
51829 62901 163138
62348 83554 80134
90817 25746 32213
99625 39306 103544
49228 81495 183153
82401 19868 49907
90217 43244 28169
80454 29835 168539
85415 50967 54694
38863 42272 134544
63236 84845 113317
6718 19558 84497
69811 33797 86350
87449 60968 58493
35085 78318 178760
87338 54434 158056
17645 23199 8757
97224 26464 181108
76849 2155 25829
9394 17476 70905
31500 78963 77623
97801 49863 53418
8498 10087 120222
23283 71562 19862
12416 35974 183361
31501 91346 43199
81531 72564 47802
20807 21154 182092
57687 88754 70097
31769 43335 59698
84228 66259 34487
31100 64390 199065
11681 62388 117380
48246 48443 96342
19303 21445 84343
4794 17741 187955
54467 74744 105663
29943 35620 52098
52611 54223 41730
38584 16234 13887
74937 84229 184571
95597 77579 83125
23311 91886 60512
37200 43644 13655
42183 33179 142256
53802 41797 39214
63431 2333 12870
12857 71469 59787
92676 81250 184849
6915 69432 102475
95287 11887 45145
76176 19118 94310
1881 14998 129818
41146 46743 105400
32878 84166 186576
12352 86392 169566
15764 60749 169248
54681 49143 147641
99046 89590 177643
26079 92856 92925
11323 1422 187573
2720 49241 31602
75647 3529 165327
24594 52731 131909
37599 15356 4446
77333 82871 191717
27630 71274 128354
2497 60997 90466
93088 67898 199578
76916 52752 102969
75161 13899 77262
88037 46735 192098
34524 42301 177679
64891 17497 78080
78715 62034 108663
24788 79267 30345
3385 76412 67780
84523 79660 149102
90362 78946 55820
87115 86491 188966
86319 46998 126867
26635 52833 99745
21860 96795 156809
64600 66522 68817
155 10845 29639
23221 73085 36226
34575 68053 53023
87511 42606 138610
28757 26451 80779
12090 47964 37201
74475 74743 39080
46704 53776 109033
8249 44601 86864
14131 1098 116266
49924 87544 29778
47574 57117 13657
13541 81781 57061
63087 17300 176913
28301 41206 6204
51936 40134 193323
53626 288 554
46904 13774 80435
65322 52369 19691
4063 25143 166816
9272 18412 136226
39803 76293 117698
89953 37852 36192
40176 45173 181590
97194 62777 122530
21056 98604 80891
21175 82914 104658
18674 23759 18912
4598 21215 172638
98133 77068 94207
5238 40163 135821
53556 81353 15383
65009 43366 8565
10368 89345 29074
47330 15984 58366
3183 63763 120346
62515 32872 80980
85360 22672 48512
18567 3218 94000
57135 92218 114200
24102 40265 129816
780 76732 133300
69027 89189 97709
81565 49583 160939
25869 65541 104447
76646 20546 94431
62664 4869 48087
63338 52691 115451
58755 14550 176356
48364 20304 164490
18090 95859 181563
17488 85418 9999
91440 73133 392
43692 96452 158667
81769 63816 113325
73093 13055 69173
33115 19258 141249
78808 24008 125137
89068 78805 13982
44705 15633 141782
75058 79700 126297
99109 39256 35412
42278 77723 53951
51218 37192 111473
68515 76109 14314
17359 38351 121373
36918 87588 168882
27064 41866 115956
98813 71739 29658
41202 74466 9046
90785 70830 57391
94826 51397 81645
86812 63364 149116
46351 66556 175506
93231 10533 3168
38075 73300 15368
45702 96135 170688
16557 51127 162977
77442 31464 167527
40054 66888 129913
72571 30966 174326
68274 82407 20961
43156 85038 90841
59270 79014 84149
66707 24325 67968
85719 79775 8200
68406 93445 170254
81474 59168 31302
59518 29347 12085
15939 77548 136854
87327 66751 155256
96882 17832 176261
61469 62009 10981
96754 42734 84439
86107 98542 176380
35318 86210 112242
69403 47767 94459
59308 25885 25035
83324 38656 29445
61628 48448 116774
61100 18792 99954
90285 33621 95497
89423 16702 165980
47543 59532 158195
13755 67662 24682
36149 88522 186326
44658 78027 25122
30110 23631 105711
31521 46604 175255
74648 57585 156674
8675 97849 25647
26245 52700 154550
29081 39005 11773
81476 8710 159921
43679 91058 68704
89213 88372 2734
47592 14897 64790
59173 79759 102895
63809 66755 148517
43228 84256 115849
82349 77780 47398
11708 46801 83155
35129 92191 123266
35310 703 23944
38964 81812 195223
28756 40146 144287
23757 2284 92698
45855 86025 24916
95721 23888 6100
55827 97601 114549
38382 73815 182652
67209 73616 28044
62 81838 100831
93382 641 6166
38102 92320 2000
11507 41800 173368
35443 76760 161848
42804 47448 104345
69084 84294 71151
54641 67248 114879
22003 38461 177498
60028 81696 79247
33309 69722 186472
54758 70002 181676
51714 1101 170509
8194 72353 75934
42055 27280 170817
47739 81701 143232
494 39478 71616
84356 40822 59268
83659 56223 37737
40377 11923 47270
59914 53361 108854
33137 77610 180260
50123 91895 141384
26205 83980 25644
41220 85138 98928
62872 79687 120099
78393 94912 67170
18851 88426 148684
10569 97619 143625
14119 42585 105828
13815 9336 22267
48468 89960 112615
98336 78189 38837
23894 31200 86533
8778 86130 115559
73288 16816 160502
83639 7925 171825
95199 93423 106143
49057 13962 164481
92280 44868 4126
60996 37686 160782
59337 944 5457
30355 97883 71345
64673 22917 174228
65359 67350 40398
10573 59633 195284
61321 85247 1489
43385 58726 196989
99674 63470 103391
67047 38938 174127
23169 9002 177974
27293 94659 145745
79672 68289 11511
57902 25458 99312
72212 66610 105675
66057 37421 141688
349 80687 105862
88375 85325 143253
81499 92483 153189
8334 20797 68248
85263 98461 40387
76667 30998 176642
46622 44492 164501
29490 58785 146540
2060 34388 170392
24704 54708 120623
78844 36120 161594
67769 94814 156762
30810 54666 16781
13170 29364 102804
82772 27050 100672
1455 47153 123663
87399 78869 96973
80500 42996 69846
20476 86359 142217
74369 4570 124094
10851 55499 196391
33349 13918 149758
45208 83864 22585
62161 26323 128290
12048 38355 159026
40952 71970 183813
78147 8809 13661
38346 325 15103
12718 52259 52902
39527 78285 119983
21795 13221 68439
19119 95554 98266
46992 11148 30771
92427 58492 15094
47989 38858 192841
90563 32576 170223
35202 47253 64853
63634 50610 186801
97178 37640 49333
363 87954 43835
91304 83165 118218
74911 59622 108105
27003 85145 102669
92696 34262 172935
97989 32809 46109
6651 80993 8851
2251 11681 7449
28723 17730 60271
43379 36219 179474
17009 53650 197901
86718 45339 9681
77727 8348 12100
63607 91843 115988
55362 36645 105877
37481 7459 177703
34128 51340 34795
45974 38269 3117
62255 58611 74847
24480 59337 42702
90156 93647 179960
12972 23077 146232
77783 10560 108839
40610 13267 78217
25675 17052 86210
23387 1102 19405
74910 40046 183711
18842 53207 52375
85583 73844 189885
53303 29407 188917
60501 43659 118577
73658 80519 89705
90486 89620 3674
89280 59514 135310
53703 57176 93063
55367 24971 142226
53869 52349 77582
89955 98844 113084
47731 29801 178373
8244 76700 86504
17660 19080 71325
64131 58359 5362
98988 24982 19387
35907 95402 168561
68908 45226 134169
96472 85762 1948
98863 66187 57252
94663 58621 51209
52272 9936 67009
71624 41256 102540
77641 54430 129113
40438 96118 425
8661 24608 26501
60311 98260 110987
35647 32550 10168
43666 59249 195883
80743 41140 103948
53344 8769 99390
23576 65599 112566
48928 18745 81583
99479 37438 39981
60601 23870 63583
92143 11539 49915
96441 36647 167507
76404 84592 1145
51440 88504 57095
10705 52796 87274
16010 4171 40968
3888 86070 119636
45057 11253 126446
45151 29099 107141
89499 59100 118057
62331 54333 101115
73335 80820 173114
86877 41032 106552
17080 21339 4508
98882 79969 155754
44315 54116 137885
78597 21341 125996
89355 28151 128992
76914 51411 103083
28372 22776 188722
87884 38013 38949
94323 80758 70713
53298 86260 105937
55421 91095 160982
98293 34332 68217
43454 4748 20113
36500 58588 54417
61898 44418 152870
80851 28648 27626
60264 5290 149137
75145 13592 118480
36095 24973 142633
4512 682 140048
45683 61264 62557
8086 85462 180137
75333 62402 136957
82764 56279 195825
2995 75020 184995
31523 36393 142223
83087 33728 118939
49839 38839 122844
35508 31492 17433
61378 17240 165655
9456 2932 67548
43384 8320 34423
60297 44509 119612
56920 69885 182020
64771 36579 106348
50828 72778 112044
81136 87052 128365
73359 98084 78341
84608 12812 9554
7945 3737 136787
12483 32371 24702
16834 82481 11535
75259 26084 192905
19561 34877 77312
1138 75093 77053
55142 88438 145385
91554 12307 123588
76807 91263 78898
71849 63964 64274
81854 91700 146854
29741 4068 176157
404 32510 32921
44643 64113 125492
41747 22186 156967
63064 90112 92577
73115 69215 186663
27776 91771 22589
95414 52147 156889
30367 29683 24451
17745 62433 178665
48520 17844 116047
30632 80978 158900
32181 23658 75744
18774 37428 78424
43375 69435 101140
83741 49086 129655
7791 48073 161752
61219 28610 61065
6353 30983 47719
95019 99062 121400
29121 70520 194479
29015 97387 187539
45574 49377 162420
834 93506 25694
95739 78827 98781
81574 60130 105235
13768 37230 101884
99379 48824 151797
6545 991 36682
48573 58364 198544
59298 73414 108279
57411 41015 37967
87839 98289 108188
94384 58051 2717
45103 52608 130082
61633 52105 156342
80984 44590 148939
98171 55516 50673
37806 65595 41311
54375 8900 69489
261 22055 169730
1947 21640 30522
42141 55548 138893
11111 80865 126317
10570 62333 64739
99660 16625 106702
80920 6231 16959
6369 77195 92878
7417 73813 182161
12401 15420 24348
87520 23076 42299
67680 66756 32846
88023 40145 120974
52712 29080 109330
86044 30622 198445
58789 40249 189996
40018 7687 24304
12596 23274 150696
53588 62084 163153
42078 41635 171331
85388 67930 115352
22562 10379 192641
74144 83933 45516
26125 23962 60374
70045 88497 45431
44373 57593 40000
38880 26625 10256
83564 55937 102469
3340 57768 155938
58972 38529 30016
62620 52616 139351
29041 4826 13777
23012 64740 3186
87630 759 133568
80531 10867 8344
12249 74293 115223
96191 91351 79883
48026 8870 59628
36410 59261 11566
41423 20381 115011
14615 92794 52319
75165 45922 9399
19831 56524 65733
48890 69141 41629
54970 7165 6523
42492 57198 146494
90217 42597 127591
24430 83759 66134
43355 27483 199020
89358 6876 35751
85994 93628 141292
68871 98191 165724
37341 5989 113894
80711 98395 103701
17414 77396 27016
24715 75309 42245
18363 22706 183400
31056 34384 110716
58247 38088 114721
99783 76384 153066
33742 72642 71651
87428 44263 11494
38544 28297 106220
29947 40054 151260
40613 56997 72579
